id,name,year,site
2136,Asia-chT,1998,Genting Highlands
2137,DEN-ch,1998,Taastrup
2138,Serbian-ch 29th,1998,Sabac
2139,Zepter op,1998,Minsk
2140,CZE-ch,1998,Zlin
2141,Taufkirchen,1998,Taufkirchen
2142,EUCup sf,1998,Breda
2143,Szeged TT10 IM,1998,Szeged
2144,EUCup Gr7,1998,Belgrade
2145,SLO-chT,1998,Bled
2146,Tanta zt,1998,Tanta
2147,National Congress 29th,1998,Philadelphia
2148,NRW-Liga I 9899,1998,GER
2149,Budapest FS12 IM-B,1998,Budapest
2150,Danube op,1998,Aschach
2151,Trinec op,1998,Trinec
2152,South Wales 2nd,1999,Newport
2153,AUS-chJ,1999,Hervey Bay
2154,BL2-SuedO 9900 (Women),1999,Germany
2155,Victor Ciocaltea Memorial,1999,Bucharest
2156,Spring Festival 15th,1999,Budapest
2157,ISR-ch op,1999,Tel Aviv
2158,Budapest FS04 IM-B,1999,Budapest
2159,Oceanic zt (Women),1999,Gold Coast
2160,EST-ch,1999,Tallinn
2161,Budapest FS06 IM,1999,Budapest
2162,Fredericksburg op,1999,Fredericksburg
2163,Arthur Dake Int,1999,San Francisco
2164,Bydgoszcz Bank Pocztowy op,1999,Bydgoszcz
2165,Budapest FS08 IM,1999,Budapest
2166,NED U16 op,1999,Hengelo
2167,VISA Nordic GP fin,1999,Gentofte
2168,Ehrat mem,1999,Zurich
2169,Zuglo Hotel op 2nd,1999,Budapest
2170,CAN-ch,1999,Brantford
2171,Coulsden op,1999,Coulsden
2172,SoLett op,1999,Skelleftea
2173,SLO-ch,1999,Kranj
2174,Budapest FS11 IM,1999,Budapest
2175,15th Open,2002,Kiel GER
2176,World Youth Stars,2003,Kirishi RUS
2177,II Manuel Pereyra Puebla Mem,2003,Mendoza ARG
2178,TCh-EY,2004,Obrenovac SCG
2179,Quebec Open,2004,Montreal CAN
2180,3rd Juniors,2004,Dubai UAE
2181,23rd NAO-OCF,2004,Oklahoma USA
2182,Stepchev Memorial,2004,Kiev UKR
2183,Geller mem Open A,2005,Odessa UKR
2184,Wch-Seniors w,2005,Lignano Sabbiadoro ITA
2185,Sekkat mem,2005,Casablanca MAR
2186,January OCF FIDE Open,2006,Oklahoma City USA
